date,industry_tone,emera_diff,blackberry_ltd_diff,gildan_activewear_diff,barrick_gold_diff,thomson_reuters_diff,ballard_power_systems_diff,cenovus_diff,metro_diff,kinross_gold_diff,pembina_pipeline_diff,altagas_ltd_diff,suncor_diff,magna_diff,fortis_diff,lightspeed_commerce_diff,canadian_natural_resources_ltd_diff,nutrien_ltd_diff,wheaton_precious_metals_diff,bausch_health_companies_diff,agnico_eagle_mines_ltd_diff,cameco_diff,telus_diff,constellation_software_diff,loblaw_companies_ltd_diff,imperial_oil_ltd_diff,ritchie_bros_auctioneers_diff,quebecor_diff,canopy_growth_diff,shaw_communications_diff,tc_diff,sun_life_financial_diff,enbridge_diff,canadian_national_railway_diff,canadian_pacific_railway_ltd_diff,manulife_financial_diff,dollarama_diff
2022-01-05,-0.00716195569136747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.673617379884035e-19,,-8.673617379884035e-19,,,,
2022-01-06,-0.004145283400602554,,,,,-0.0021134458797094618,,0.0007771666065598294,,,,,0.0007771666065598294,,,,,,,,,,,,,,,,,,,,0.0007771666065598294,,,0.0007771666065598294,
2022-01-07,-0.010176766948808185,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-08,-0.010176766948808185,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-09,-0.010176766948808185,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-10,-0.003635534832271821,0.0009059792039281195,,,,-0.0012158955579984745,,,,,,,,,0.0018963288584557046,,,,,,,,,,,,,,,,,,,,,,
2022-01-11,0.0015513295692948467,,,,,0.0017711503297017624,,,,,,,-0.0015513295692948467,,,-0.00022489956721677288,-0.0015513295692948467,,,,,,,,,,,,,,,,,,,,
2022-01-12,-0.005993921019158941,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-13,-0.005993921019158941,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14,-0.005993921019158941,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-15,-0.005993921019158941,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-16,-0.005993921019158941,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-17,-0.005993921019158941,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-18,0.003777357131287634,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-19,0.003777357131287634,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-20,0.003777357131287634,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-21,0.003777357131287634,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-22,0.003777357131287634,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-23,0.003777357131287634,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-24,-0.00010972017881704068,,,,,0.004943595980434783,,,,,,,,,,,,,,,,,,,,,,,,,-0.003557623535920031,,,,,,
2022-01-25,-0.00010972017881704068,,,,,0.004943595980434783,,,,,,,,,,,,,,,,,,,,,,,,,-0.003557623535920031,,,,,,
2022-01-26,0.00042781081498569095,,,,,,,0.0023103773259214805,,,,,-0.0009125172443844085,-0.0030164094086153007,,,,,,,,,,,,,,,,,,,0.0023103773259214805,,,0.0023103773259214805,
2022-01-27,0.00042781081498569095,,,,,,,0.0023103773259214805,,,,,-0.0009125172443844085,-0.0030164094086153007,,,,,,,,,,,,,,,,,,,0.0023103773259214805,,,0.0023103773259214805,
2022-01-28,0.00042781081498569095,,,,,,,0.0023103773259214805,,,,,-0.0009125172443844085,-0.0030164094086153007,,,,,,,,,,,,,,,,,,,0.0023103773259214805,,,0.0023103773259214805,
2022-01-29,-0.00955355063680386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2022-01-30,0.008372716109105779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2022-01-31,0.008372716109105779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2022-02-01,0.008372716109105779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2022-02-02,0.008372716109105779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2022-02-03,-0.001399308065498809,,,,,,,,,,,,-0.00015331475805669824,,,-0.00015331475805669824,,,,,,,-0.00015331475805669824,,,,,,,,,0.0002974181406293385,,,,,
2022-02-04,-0.001399308065498809,,,,,,,,,,,,-0.00015331475805669824,,,-0.00015331475805669824,,,,,,,-0.00015331475805669824,,,,,,,,,0.0002974181406293385,,,,,
2022-02-05,-0.001399308065498809,,,,,,,,,,,,-0.00015331475805669824,,,-0.00015331475805669824,,,,,,,-0.00015331475805669824,,,,,,,,,0.0002974181406293385,,,,,
2022-02-06,-0.001399308065498809,,,,,,,,,,,,-0.00015331475805669824,,,-0.00015331475805669824,,,,,,,-0.00015331475805669824,,,,,,,,,0.0002974181406293385,,,,,
2022-02-07,-0.0014071975886988395,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2022-02-08,-0.0014071975886988395,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2022-02-09,-0.0014071975886988395,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,-0.0014071975886988395,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2022-02-11,-0.0003327448502980921,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-12,-0.0003327448502980921,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-13,-0.0003327448502980921,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-14,0.0006573282237019416,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,
2022-02-15,0.006179451264727688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2022-02-16,0.0009415337379504641,,,,-0.0006060938420710084,,,-0.0006060938420710084,,,,,-0.0006060938420710084,,,,,,,,,,,,,,,,,,0.0019647671223145865,,-0.0006060938420710084,,,-0.0006060938420710084,
2022-02-17,0.0009415337379504641,,,,-0.0006060938420710084,,,-0.0006060938420710084,,,,,-0.0006060938420710084,,,,,,,,,,,,,,,,,,0.0019647671223145865,,-0.0006060938420710084,,,-0.0006060938420710084,
2022-02-18,-0.0024420024420024437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,
2022-02-19,0.0002226440915453131,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-20,-0.00013999513326009474,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-21,-0.00013999513326009474,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-22,-0.00013999513326009474,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-23,-0.00013999513326009474,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-24,-0.0012229227292097176,,,,,,,0.020130088545053947,,-0.00047378509204776807,,,-0.00047378509204776807,,,,,,,,,,,,-0.00047378509204776807,,,-0.00047378509204776807,,,,,-0.00047378509204776807,,,-0.00047378509204776807,
2022-02-25,-0.0035080826223619207,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
